,time
0,0.298639455782
1,4.90181405896
2,9.31904761905
3,13.8133786848
4,18.4301587302
5,22.9653061224
6,27.468707483
7,31.6410430839
8,36.0990929705
9,40.8065759637
10,45.573015873
11,50.1535147392
12,54.6977324263
13,58.9879818594
14,63.7770975057
15,68.3621315193
16,72.9607709751
17,77.3507936508
18,81.8995464853
19,86.5843537415
20,91.3598639456
21,95.90861678
22,100.53446712
23,105.409750567
24,110.01292517
25,114.466439909
26,118.584353741
27,123.128571429
28,128.026530612
29,132.774829932
30,137.690929705
31,142.443764172
32,147.155782313
33,152.316780045
34,157.541269841
35,162.23968254
36,166.942630385
37,171.763492063
38,176.566213152
39,181.260090703
40,186.090022676
41,190.856462585
42,195.663718821
43,200.6569161
44,205.251020408
45,210.049206349
46,214.783900227
47,219.736281179
48,224.443764172
49,229.296371882
50,233.931292517
51,238.566213152
52,243.600226757
53,248.353061224
54,253.133106576
55,257.826984127
56,262.675056689
57,267.332653061
58,272.080952381
59,276.856462585
60,281.427891156
61,286.085487528
62,290.820181406
63,295.527664399
64,300.257823129
65,305.078684807
66,309.940362812
67,314.933560091
68,319.876870748
69,324.643310658
70,329.486848073
71,334.44829932
72,339.187528345
73,343.876870748
74,348.661451247
75,353.436961451
76,358.421088435
77,363.278231293
