,time
0,0.507256235828
1,3.37800453515
2,6.30770975057
3,9.24195011338
4,12.0446712018
5,15.0333333333
6,17.6909297052
7,20.4845804989
8,23.4097505669
9,26.4664399093
10,29.1467120181
11,32.0537414966
12,34.9607709751
13,38.2215419501
14,41.4596371882
15,44.2578231293
16,47.087755102
17,49.7589569161
18,52.5571428571
19,55.3462585034
20,58.058276644
21,60.8473922902
22,63.341723356
23,66.266893424
24,69.3689342404
25,72.3258503401
26,75.1920634921
27,77.9176870748
28,80.543537415
29,83.3598639456
30,85.9448979592
31,88.7657596372
32,91.826984127
33,94.6886621315
34,97.2918367347
35,99.8995464853
36,103.309977324
37,105.99478458
38,108.393877551
39,110.792970522
40,114.126303855
41,117.337188209
42,120.357596372
43,123.50952381
44,126.484580499
45,129.192063492
46,131.885941043
47,134.715873016
48,137.500453515
49,140.480045351
50,143.400680272
51,146.076417234
52,148.811111111
53,151.768027211
54,155.600226757
55,158.901814059
56,162.121768707
57,165.205668934
58,168.23968254
59,171.133106576
60,174.212471655
61,177.427891156
62,181.114965986
63,184.652380952
64,188.375736961
65,191.944897959
66,195.468707483
67,198.811111111
68,202.262358277
69,205.573015873
70,208.53446712
71,211.985714286
72,215.396145125
73,218.7430839
74,222.176190476
75,225.618367347
76,229.622902494
77,232.892743764
78,236.480045351
79,239.618367347
80,242.992517007
81,246.371201814
82,249.89047619
83,253.346258503
84,256.539002268
85,260.044671202
86,263.251020408
87,266.679591837
