,time
0,1.32335600907
1,8.10340136054
2,15.3551020408
3,23.0285714286
4,31.0603174603
5,38.6113378685
6,45.8358276644
7,53.5818594104
8,60.8789115646
9,68.5841269841
10,76.2167800454
11,84.0444444444
12,91.3097505669
13,98.7700680272
14,106.665759637
15,114.679365079
16,122.892517007
17,131.91292517
18,139.82675737
19,147.668027211
20,155.976417234
21,164.334693878
22,172.45260771
23,180.733786848
24,188.74739229
25,195.726984127
26,202.484353741
27,208.715646259
28,216.289342404
29,223.26893424
30,230.620408163
31,238.094331066
32,245.300680272
