,time
0,0.198639455782
1,5.13287981859
2,10.1170068027
3,15.1011337868
4,20.1532879819
5,25.0784580499
6,30.0217687075
7,35.0829931973
8,40.189569161
9,45.0467120181
10,50.2167800454
11,55.1238095238
12,60.1487528345
13,64.9832199546
14,70.0580498866
15,74.9378684807
16,79.9718820862
17,85.1056689342
18,90.0172335601
19,95.0285714286
20,100.216780045
21,104.97414966
22,109.876643991
23,114.325623583
24,118.697505669
25,123.795011338
26,128.257596372
27,133.223582766
28,138.13968254
29,143.232653061
30,148.230385488
31,153.105668934
32,158.234920635
33,162.878911565
34,167.749659864
35,172.629478458
36,177.736054422
37,182.652154195
38,187.40952381
39,192.497959184
40,197.563718821
41,202.316553288
42,207.28707483
43,212.180498866
44,216.883446712
45,222.525170068
46,227.736054422
47,232.457142857
48,237.327891156
49,242.398185941
50,247.400453515
51,252.257596372
52,257.064852608
53,262.044444444
54,266.738321995
55,271.726984127
56,276.280272109
57,280.933333333
58,285.622675737
59,290.497959184
60,295.454875283
61,300.393650794
62,306.425396825
63,311.255328798
64,316.248526077
65,320.856235828
66,325.903854875
67,330.357369615
68,334.829024943
69,339.785941043
70,344.457142857
71,349.28707483
72,353.740589569
73,357.903854875
74,361.731519274
75,366.262131519
76,370.85170068
77,374.878911565
