,time
0,0.860997732426
1,4.85192743764
2,9.45510204082
3,14.0628117914
4,18.5616780045
5,22.9154195011
6,27.3553287982
7,31.7136054422
8,35.8814058957
9,39.9176870748
10,44.266893424
11,48.7022675737
12,52.774829932
13,56.8609977324
14,60.9743764172
15,65.0242630385
16,69.2102040816
17,73.2827664399
18,77.3961451247
19,81.3689342404
20,85.3145124717
21,89.4641723356
22,93.5820861678
23,97.9222222222
24,102.407482993
25,106.838321995
26,110.720408163
27,114.588888889
28,118.520861678
29,122.398412698
30,126.212471655
31,130.34399093
32,134.316780045
33,138.139909297
34,141.881405896
35,145.536734694
36,149.305442177
37,153.192063492
38,157.033333333
39,160.906349206
