,time
0,1.34603174603
1,4.63401360544
2,7.85850340136
3,11.3369614512
4,14.9242630385
5,18.3800453515
6,22.0217687075
7,25.7179138322
8,29.4548752834
9,32.7972789116
10,36.5342403628
11,40.1623582766
12,43.5591836735
13,47.0058956916
14,50.7020408163
15,54.2167800454
16,57.9446712018
17,61.4185941043
18,64.9469387755
19,68.4344671202
20,71.9446712018
21,75.5501133787
22,79.0149659864
23,82.5206349206
24,86.085260771
25,89.4820861678
26,93.2734693878
27,96.6249433107
28,100.203174603
29,103.595464853
30,107.223582766
