,time
0,0.0
1,1.20113378685
2,2.47970155804
3,3.72267573696
4,4.99246580353
5,6.21700680272
6,7.47216736157
7,8.62063492063
8,9.81961816985
9,11.0760002926
10,12.2986394558
11,13.5557018506
12,14.7459585985
13,15.9947845805
14,17.1264720942
15,18.4489795918
16,19.6319727891
17,20.9286811499
18,22.0528125229
19,23.2736961451
20,24.5325140809
21,25.7227708288
22,26.9199546485
23,28.1363470119
24,29.3145124717
25,30.5829858825
26,31.7071172555
27,32.9380952381
28,34.1537561261
29,35.4101382488
30,36.5843537415
