,time
0,0.0
1,1.2593324068
2,2.47523955819
3,3.77799722039
4,5.09229024943
5,6.3835125448
6,7.66371882086
7,8.9021773584
8,10.1615097652
9,11.4324263039
10,12.6367493234
11,13.8960817302
12,15.3291151586
13,16.520861678
14,17.717504206
15,19.0202618682
16,20.279594275
17,21.5389266818
18,22.8111111111
19,24.01416624
20,25.3145124717
21,26.4894057982
22,27.8790139712
23,29.138346378
24,30.3542535294
25,31.6092970522
26,32.8294930876
27,34.0888254944
28,35.3481579012
29,36.6115646259
30,37.8668227147
31,39.1512471655
32,40.4289127838
33,41.6448199351
34,42.9475775973
35,44.2503352596
36,45.5530929218
37,46.8519274376
38,48.1151829908
