,time
0,0.180725623583
1,2.88367346939
2,4.54048716261
3,5.91315192744
4,7.24643405749
5,8.67959183673
6,9.99824445907
7,11.49138322
8,13.0252359008
9,14.6763221418
10,16.0063638359
11,17.9784946237
12,19.5503401361
13,21.1430765855
14,22.6750566893
15,24.2617950406
16,25.826984127
17,27.7015580426
18,29.4902348036
19,31.1376417234
20,32.7006802721
21,34.214175993
22,35.5900811938
23,37.1035769146
24,38.8065759637
25,40.4057493965
26,41.9192451174
27,43.5244678517
28,45.0605442177
29,46.5055957867
30,48.110818521
31,49.4408602151
32,51.1058956916
33,52.4678516568
34,53.935483871
35,55.3780045351
36,57.0083388194
37,58.3984126984
38,59.8518762344
39,61.2736449418
40,62.9607709751
41,64.4382269037
42,65.9058591178
43,67.4652183454
44,68.8609977324
45,70.6756638139
46,72.005705508
47,73.4274742155
48,74.7793650794
49,76.1334211104
50,77.5093263112
51,78.9769585253
52,80.5363177529
53,81.866359447
54,83.319047619
55,84.709896862
56,86.1172335601
57,87.5534342769
58,89.0669299978
59,90.534562212
