,time
0,0.108163265306
1,1.77076780533
2,3.35991839986
3,5.26689911329
4,7.08307122132
5,8.80843472395
6,10.7385487528
7,12.3953746373
8,14.0299295345
9,15.6190801291
10,17.2082307236
11,18.983446712
12,20.6135534261
13,22.393877551
14,24.0642804314
15,25.7442396313
16,27.4241988313
17,29.0587537285
18,30.9199546485
19,32.5094807338
20,34.3575963719
21,36.1418249498
22,37.9040816327
23,39.5925519551
24,41.3009070295
25,42.9524703549
26,44.7839002268
27,46.4940059656
28,48.2442176871
29,49.8539243654
