,time
0,0.171428571429
1,3.44580498866
2,6.88798185941
3,10.2349206349
4,13.5229024943
5,16.8562358277
6,20.2439909297
7,23.4548752834
8,26.8879818594
9,30.2575963719
10,33.4911564626
11,37.0285714286
12,40.4843537415
13,43.8131519274
14,47.1646258503
15,50.4253968254
16,53.8267573696
17,57.3052154195
18,60.7746031746
19,64.316553288
20,67.6816326531
21,71.0013605442
22,74.4843537415
23,77.7541950113
24,80.9922902494
25,84.2893424036
26,87.5954648526
27,90.8154195011
28,94.0943310658
29,97.4321995465
30,100.738321995
