,time
0,1.35986394558
1,4.08095238095
2,6.879138322
3,9.44149659864
4,12.2941043084
5,15.1784580499
6,18.1988662132
7,20.7929705215
8,23.4959183673
9,26.2623582766
10,29.110430839
11,32.0219954649
12,34.6977324263
13,37.3780045351
14,40.312244898
15,42.9743764172
16,45.8360544218
17,48.7566893424
18,51.8179138322
19,54.7929705215
20,57.7045351474
21,60.6297052154
22,63.5095238095
23,66.3439909297
24,69.3553287982
25,72.1897959184
26,75.1920634921
27,78.0900226757
28,81.0741496599
29,83.9857142857
30,86.7612244898
31,89.7090702948
32,92.5798185941
33,95.5911564626
34,98.498185941
35,101.450566893
36,104.357596372
37,107.654648526
38,110.375736961
39,112.978911565
