,time
0,1.00158730159
1,4.13083900227
2,7.37346938776
3,10.5253968254
4,13.6274376417
5,16.6342403628
6,19.6637188209
7,22.8156462585
8,25.8088435374
9,28.9471655329
10,31.9358276644
11,34.9290249433
12,37.8496598639
13,40.8065759637
14,43.5412698413
15,46.543537415
16,49.5185941043
17,52.543537415
18,55.3235827664
19,58.2079365079
20,61.133106576
21,64.1535147392
22,67.0151927438
23,69.9448979592
24,72.7657596372
25,75.5911564626
26,78.3621315193
27,81.4324263039
28,84.2623582766
29,87.1965986395
30,90.3666666667
31,93.5820861678
32,96.5526077098
