,time
0,0.0
1,3.29591836735
2,6.49319727891
3,10.0623582766
4,13.1054421769
5,16.0306122449
6,19.1281179138
7,22.0170068027
8,25.2006802721
9,28.7970521542
10,31.8990929705
11,35.0011337868
12,38.425170068
13,42.0714285714
14,45.3412698413
15,48.4115646259
16,51.8854875283
17,54.910430839
18,57.8990929705
19,61.4365079365
20,64.320861678
21,67.8129251701
22,70.9421768707
23,73.8628117914
24,76.9875283447
25,80.112244898
26,83.9353741497
27,87.2233560091
28,90.0941043084
29,93.1326530612
30,95.8854875283
31,98.6519274376
32,101.912698413
33,104.87414966
34,108.397959184
35,111.486394558
36,114.5430839
37,118.189342404
38,121.132653061
39,124.357142857
40,127.645124717
41,130.592970522
42,133.463718821
43,136.792517007
44,139.60430839
45,142.810657596
46,145.722222222
47,148.674603175
48,151.717687075
49,154.697278912
50,157.799319728
51,160.87414966
52,163.971655329
53,166.715419501
54,169.681405896
55,172.651927438
56,175.617913832
57,178.710884354
58,181.613378685
59,184.506802721
60,187.5861678
61,190.574829932
62,193.468253968
63,196.524943311
