,time
0,0.0
1,4.58888888889
2,9.97664399093
3,14.4029478458
4,18.7204081633
5,23.8587301587
6,28.5798185941
7,32.6342403628
8,36.8927437642
9,41.2918367347
10,45.4278911565
11,49.5185941043
12,53.6682539683
13,58.5979591837
14,62.5253968254
15,66.7702947846
16,70.6886621315
17,74.6206349206
18,78.7022675737
19,82.7068027211
20,86.6160997732
21,91.0696145125
22,94.9199546485
23,98.9789115646
24,102.779365079
25,106.95170068
26,111.05600907
27,115.690929705
28,119.241950113
29,123.119501134
30,127.568480726
31,131.38707483
32,135.57755102
33,139.999319728
34,144.611564626
35,148.357596372
36,152.874603175
37,157.246485261
38,161.468707483
39,165.858730159
40,170.235147392
41,174.371201814
42,178.470975057
43,181.677324263
44,185.010657596
45,188.910884354
46,193.182993197
47,197.046938776
48,201.319047619
49,205.618367347
50,209.659183673
51,214.035600907
52,217.559410431
53,220.851927438
54,224.498185941
55,228.203401361
56,232.55260771
57,236.788435374
58,240.525396825
59,244.207936508
60,247.967573696
61,251.641043084
62,255.573015873
63,259.690929705
64,263.631972789
65,267.731746032
66,271.237414966
67,274.856462585
68,279.486848073
69,283.028798186
70,286.965306122
71,290.32585034
72,294.017460317
73,297.953968254
74,301.087755102
75,304.693197279
76,307.944897959
77,311.450566893
