,time
0,1.29183673469
1,4.59795918367
2,8.05827664399
3,11.1376417234
4,14.7385487528
5,18.1897959184
6,21.7453514739
7,25.1784580499
8,28.670521542
9,32.1444444444
10,35.5820861678
11,39.1512471655
12,42.5843537415
13,46.0083900227
14,49.3961451247
15,52.7340136054
16,56.3621315193
17,59.8133786848
18,63.214739229
19,66.4301587302
20,69.9358276644
21,73.5185941043
22,76.856462585
23,80.2487528345
24,83.7136054422
25,87.0242630385
26,90.520861678
27,94.1263038549
28,97.4732426304
29,100.792970522
30,104.044671202
31,106.856462585
32,109.845124717
33,112.978911565
