,time
0,0.166666666667
1,5.25510204082
2,9.43650793651
3,13.7403628118
4,17.39569161
5,21.3185941043
6,24.8786848073
7,28.574829932
8,32.343537415
9,36.2845804989
10,39.6496598639
11,43.2278911565
12,47.0600907029
13,51.014739229
14,56.1530612245
15,60.4160997732
16,64.4795918367
17,68.3571428571
18,72.6746031746
19,77.119047619
20,81.4954648526
21,85.835600907
22,90.1893424036
23,94.2120181406
24,98.1077097506
25,101.926303855
26,105.735827664
27,109.826530612
28,113.304988662
29,116.710884354
30,120.225623583
31,123.427437642
32,127.119047619
33,130.316326531
34,134.316326531
35,137.713151927
36,141.146258503
37,145.431972789
38,149.028344671
39,152.905895692
40,157.123582766
41,160.878684807
42,164.479591837
43,167.994331066
44,171.590702948
45,175.441043084
46,179.427437642
47,183.123582766
48,187.028344671
49,190.910430839
50,194.357142857
51,198.003401361
52,201.477324263
53,205.107636603
54,209.318594104
55,212.088276888
56,215.626984127
57,219.218820862
58,223.100907029
59,226.538548753
