,time
0,0.520634920635
1,3.41405895692
2,7.18276643991
3,10.0489795918
4,13.2916099773
5,17.2009070295
6,21.1102040816
7,25.0512471655
8,28.9333333333
9,32.779138322
10,36.6204081633
11,40.5569160998
12,44.7655328798
13,48.8743764172
14,52.9287981859
15,56.7337868481
16,60.9333333333
17,64.8562358277
18,68.9469387755
19,72.8471655329
20,76.9287981859
21,80.9015873016
22,85.0149659864
23,88.9650793651
24,93.3188208617
25,97.3188208617
26,101.554648526
27,105.6
28,109.849433107
29,113.990022676
30,118.189569161
31,122.484353741
32,126.552380952
33,130.742857143
34,134.801814059
35,138.466213152
36,142.815419501
