,time
0,0.520634920635
1,6.49342403628
2,12.7201814059
3,18.8925170068
4,25.3369614512
5,31.2281179138
6,37.1102040816
7,43.4684807256
8,49.4049886621
9,55.3868480726
10,62.2258503401
11,68.3755102041
12,74.547845805
13,80.801814059
14,87.2825396825
15,93.4639455782
16,99.2507936508
17,105.967346939
18,112.003628118
19,118.674829932
20,125.214512472
21,131.241723356
22,137.241723356
23,142.634013605
24,148.525170068
25,153.876643991
26,159.93106576
27,166.829024943
28,173.318820862
29,179.745124717
30,186.990351696
31,194.611337868
32,201.327891156
33,210.425396825
34,216.22585034
35,221.967346939
36,228.493424036
37,235.418594104
38,241.840362812
39,249.241723356
40,256.162358277
41,262.466213152
42,268.393650794
43,274.307482993
44,280.34829932
45,287.169160998
46,293.119274376
47,299.61814059
48,305.70430839
49,311.604535147
50,317.26893424
51,323.219047619
52,329.590929705
53,335.772335601
54,341.999092971
55,348.271201814
56,355.237188209
57,362.094331066
58,368.389115646
59,374.062585034
60,380.003628118
61,386.552380952
62,392.520634921
63,398.565986395
64,404.897052154
65,411.835827664
66,418.602267574
67,424.847165533
68,431.169160998
69,437.441269841
70,443.359637188
71,449.241723356
72,454.883446712
73,461.563718821
74,467.087528345
75,472.860770975
76,479.073922902
77,485.296145125
