,time
0,0.112801632003
1,2.25603264006
2,4.17366038411
3,6.09128812815
4,8.0089158722
5,10.1399092971
6,11.9569729923
7,14.2130056324
8,16.2434350084
9,18.2738643845
10,20.5298970245
11,22.8609977324
12,25.0419623046
13,27.2782312925
14,29.5540275847
15,31.9721088435
16,34.3893424036
17,36.7113378685
18,38.916563041
19,41.172595681
20,43.6229024943
21,46.0310657596
22,48.3485260771
23,50.1967262413
24,52.4664399093
25,54.3703866254
26,56.6115646259
27,58.7696502735
28,60.9108843537
29,62.6049057616
30,64.7158730159
31,66.4401612497
32,68.6961938897
33,70.3882183698
34,72.1930444818
35,74.2124716553
36,75.9154983379
37,77.7861678005
38,79.525150562
39,81.6092970522
40,83.3604060501
41,85.3780045351
42,87.1956615382
43,88.8876860183
44,91.0469387755
45,92.6101398743
46,94.5277676184
47,96.4482993197
48,98.2502214745
49,99.8294443225
50,102.085487528
51,103.551898179
52,105.727210884
53,107.387153667
54,109.287301587
55,110.771202627
56,112.463227107
57,114.475510204
58,115.960077699
59,117.539300547
60,119.609297052
61,121.261754403
62,123.092290249
63,124.758604995
