,time
0,0.0338548752834
1,1.5821812596
2,3.24020408163
3,4.69380440348
4,6.30235535074
5,7.75268817204
6,9.28102040816
7,10.70609319
8,12.024577573
9,13.5803891449
10,15.0905442177
11,16.5601638505
12,18.1290929705
13,19.6454173067
14,21.0693804403
15,22.5197132616
16,23.9700460829
17,25.5168480726
18,27.0289298515
19,28.4873696145
20,29.9559651818
21,31.5381464414
22,33.0678684807
23,34.517921147
24,36.1264720942
25,37.6559139785
26,39.2129931973
27,40.7411674347
28,42.3233486943
29,43.8791602663
30,45.4086021505
31,46.8325652842
32,48.3620071685
33,49.9178187404
34,51.6211564626
