,time
0,1.03333333333
1,5.90861678005
2,10.8473922902
3,15.2827664399
4,19.5412698413
5,23.8360544218
6,28.4301587302
7,32.4936507937
8,36.9108843537
9,40.9380952381
10,44.7430839002
11,48.5253968254
12,52.4482993197
13,56.3213151927
14,60.6160997732
15,65.0469387755
16,68.9789115646
17,73.4097505669
18,77.9585034014
19,82.1217687075
20,86.0401360544
21,90.2850340136
22,94.2578231293
23,98.1716553288
24,102.389342404
25,106.457369615
26,110.158049887
27,114.01292517
28,118.071882086
29,122.040136054
30,126.829251701
31,131.151247166
32,135.414285714
33,139.704535147
34,144.058276644
35,149.296371882
36,153.341723356
37,157.641043084
38,161.999319728
39,165.854195011
