,time
0,0.0
1,2.779138322
2,5.91292517007
3,8.92426303855
4,12.0988662132
5,15.2961451247
6,18.4117913832
7,21.39138322
8,24.5886621315
9,27.6997732426
10,30.9696145125
11,34.1986394558
12,37.368707483
13,40.4163265306
14,43.5727891156
15,46.7292517007
16,49.8403628118
17,52.7292517007
18,55.8267573696
19,58.779138322
20,61.9492063492
21,64.8290249433
22,67.7678004535
23,70.7609977324
24,73.9083900227
25,77.1102040816
26,79.9945578231
27,83.1011337868
28,86.0263038549
29,89.1056689342
30,92.2530612245
31,95.4049886621
