,time
0,1.25102040816
1,5.55941043084
2,10.4301587302
3,15.1013605442
4,20.3485260771
5,24.856462585
6,29.2882927364
7,34.0492063492
8,39.3825396825
9,44.9970521542
10,49.9902494331
11,55.8904761905
12,61.59569161
13,67.4823129252
14,73.364399093
15,79.214739229
16,84.8156462585
17,90.7793650794
18,96.8700680272
19,102.688662132
20,108.040136054
21,113.654648526
22,119.146712018
23,124.833786848
24,130.253287982
25,135.069614512
26,140.548072562
27,146.421088435
28,151.482312925
29,156.23968254
30,161.201133787
31,165.958503401
32,171.092290249
33,175.89047619
34,180.575283447
35,185.101360544
36,189.80430839
