,time
0,1.35079365079
1,6.289569161
2,11.6682539683
3,17.3870748299
4,22.7612244898
5,27.8451247166
6,32.8746031746
7,38.1489795918
8,43.6727891156
9,49.1013605442
10,54.6931972789
11,59.9040816327
12,65.0469387755
13,70.2442176871
14,75.6954648526
15,80.9653061224
16,86.8655328798
17,92.9290249433
18,98.6977324263
19,104.32585034
20,109.545804989
21,114.470975057
22,119.418820862
23,124.95170068
24,129.663718821
25,134.593424036
26,139.709070295
27,144.820181406
28,150.616099773
29,156.026530612
30,161.187528345
31,166.158049887
32,171.001587302
33,176.158049887
34,180.938095238
35,185.845124717
36,190.833786848
