,time
0,0.0
1,2.47528344671
2,5.01950113379
3,7.67709750567
4,10.3392290249
5,13.0512471655
6,15.7859410431
7,18.5931972789
8,21.3369614512
9,24.1034013605
10,26.8335600907
11,29.5591836735
12,32.3709750567
13,35.2235827664
14,38.0444444444
15,40.7655328798
16,43.4866213152
17,46.2167800454
18,48.9015873016
19,51.5954648526
20,54.1986394558
21,57.033106576
22,59.7451247166
23,62.4662131519
24,65.1510204082
25,67.7088435374
26,70.2712018141
27,72.8970521542
28,75.3006802721
29,77.6045351474
30,80.1215419501
