,time
0,0.262131519274
1,3.11927437642
2,6.05351473923
3,8.93786848073
4,11.9083900227
5,14.7972789116
6,17.80861678
7,20.8290249433
8,23.8993197279
9,26.9333333333
10,29.656840514
11,31.7360544218
12,34.5931972789
13,37.473015873
14,40.1578231293
15,42.987755102
16,45.5909297052
17,48.1170068027
18,50.9560090703
19,53.4594104308
20,56.0444444444
21,58.7292517007
22,61.0421768707
23,63.4231292517
24,68.2757369615
25,70.0715545477
26,72.674829932
27,75.1192743764
28,77.4231292517
29,79.7541950113
30,82.1850340136
31,84.6068027211
32,87.0648526077
33,89.4066515495
34,91.8947845805
35,94.3891156463
36,96.9242630385
37,99.4376417234
38,101.813151927
39,104.13968254
40,106.797278912
41,109.237188209
42,111.358528597
43,114.606802721
44,116.592088687
45,119.790375409
46,121.980952381
47,124.271201814
48,126.887981859
49,129.404988662
50,131.79047619
51,134.411791383
52,136.878911565
53,140.312018141
54,142.033005795
55,144.665759637
56,146.685059209
57,149.30521542
58,151.627865961
59,153.885714286
60,155.989166037
61,158.089795918
62,160.779138322
