,time
0,1.22380952381
1,2.69820544705
2,4.33945578231
3,5.81965880737
4,7.51859410431
5,9.09983013516
6,10.6341038207
7,12.1683775063
8,13.7555571811
9,15.395642845
10,17.0242630385
11,18.5700021944
12,20.0537414966
13,21.6385495656
14,23.119917262
15,24.8658149042
16,26.3984126984
17,27.9872682645
18,29.5744479393
19,31.1087216249
20,32.7566893424
21,34.3359869635
22,35.8173546599
23,37.468707483
24,38.9388080202
25,40.5788936841
26,41.9544494022
27,43.4887230878
28,45.1288087517
29,46.7204081633
30,48.1444501337
31,49.7316298084
32,51.3717154723
33,52.8337868481
34,54.3344508652
35,55.9745365291
36,57.4029982363
