,time
0,0.0
1,2.30770975057
2,3.96241029267
3,6.47097505669
4,8.40804135274
5,10.1399092971
6,11.5972984176
7,13.2402490267
8,14.9798437894
9,16.526150245
10,18.8156462585
11,20.4885605377
12,22.2281553004
13,23.967750063
14,26.190565593
15,27.8335162022
16,29.7408163265
17,31.216061574
18,32.9335600907
19,35.2751160201
20,36.8214224758
21,39.0442380058
22,40.880476922
23,42.7022675737
24,44.4563106007
25,46.0992612099
26,47.935500126
27,49.7717390421
28,51.5113338047
29,53.5367346939
30,54.99052333
31,56.7301180926
32,58.8562894692
33,60.5958842318
34,62.9562358277
35,64.3650062175
36,66.0079568267
37,68.3274165102
38,69.8737229659
39,71.709961882
40,74.1716553288
41,75.5757280212
42,77.6863945578
43,79.7314266208
44,81.4710213835
45,83.59719276
46,85.3870748299
47,86.5931615179
48,88.0428238201
49,90.0673469388
50,92.1018782662
51,93.8179138322
52,95.2911353311
53,97.0307300937
54,98.8111111111
55,100.123343005
56,101.669649461
57,103.441496599
58,104.665618219
59,106.115280521
