,time
0,0.0
1,3.31859410431
2,6.58843537415
3,9.82199546485
4,13.0283446712
5,16.1394557823
6,19.39569161
7,22.7607709751
8,26.1167800454
9,29.373015873
10,32.6972789116
11,35.9263038549
12,39.2823129252
13,42.6337868481
14,45.9308390023
15,49.2777777778
16,52.6247165533
17,55.8764172336
18,59.2551020408
19,62.5929705215
20,65.9217687075
21,69.1462585034
22,72.3752834467
23,75.5725623583
24,78.7244897959
25,82.0124716553
26,85.3185941043
27,88.4387755102
28,91.5498866213
29,94.8015873016
30,98.0351473923
31,101.327664399
