,time
0,0.0
1,4.91995464853
2,9.92675736961
3,14.8746031746
4,19.8723356009
5,24.8700680272
6,29.4959183673
7,34.3802721088
8,38.8292517007
9,43.826984127
10,48.8292517007
11,53.7045351474
12,58.7068027211
13,63.59569161
14,68.162585034
15,72.9154195011
16,78.035600907
17,83.1603174603
18,87.9131519274
19,92.7884353741
20,97.9131519274
21,102.661451247
22,107.341723356
23,111.450566893
24,116.058276644
25,120.860997732
26,126.543537415
27,131.418820862
28,136.294104308
29,141.382539683
30,146.189795918
31,151.192063492
32,156.067346939
33,160.978911565
34,165.849659864
35,170.539002268
36,175.486848073
37,180.480045351
38,185.305442177
39,189.90861678
40,194.783900227
41,199.033333333
42,204.63877551
43,208.702267574
44,213.831519274
45,218.702267574
46,223.7
47,228.702267574
48,233.582086168
49,238.457369615
50,243.332653061
51,248.167120181
52,252.525396825
53,257.024263039
54,262.021995465
55,267.019727891
56,271.772562358
57,276.647845805
58,281.645578231
59,286.520861678
60,291.523129252
61,296.398412698
62,301.391609977
63,306.271428571
64,311.273696145
65,316.938095238
66,322.185260771
67,326.851927438
68,331.650113379
69,336.652380952
70,341.523129252
71,346.53446712
72,351.40521542
73,355.378004535
74,359.101360544
75,363.046938776
76,366.888208617
77,370.407482993
