,time
0,0.942630385488
1,3.82698412698
2,6.4029478458
3,9.11950113379
4,11.8859410431
5,14.6387755102
6,17.3961451247
7,20.1217687075
8,22.9970521542
9,25.9358276644
10,28.8882086168
11,31.8405895692
12,34.6886621315
13,37.4324263039
14,40.4845804989
15,43.5049886621
16,46.7249433107
17,49.5185941043
18,52.5117913832
19,55.3780045351
20,58.3575963719
21,61.4052154195
22,64.3031746032
23,67.2328798186
24,70.2804988662
25,73.2328798186
26,76.2260770975
27,79.2283446712
28,82.1761904762
29,85.1467120181
30,87.7907029478
31,90.2124716553
