,time
0,0.393650793651
1,6.42993197279
2,12.2349206349
3,17.8721088435
4,24.2984126984
5,30.3755102041
6,36.5297052154
7,42.5841269841
8,48.7201814059
9,54.8063492063
10,61.1782312925
11,67.0965986395
12,73.114739229
13,78.9650793651
14,85.5229024943
15,91.577324263
16,97.6589569161
17,103.318820862
18,109.214512472
19,115.980952381
20,122.180498866
21,128.207709751
22,133.80861678
23,139.141950113
24,144.593197279
25,150.470748299
26,155.881179138
27,161.890249433
28,167.799546485
29,174.484353741
30,180.370975057
31,186.316553288
32,192.398185941
33,198.425396825
34,203.91292517
35,209.382312925
36,215.522902494
37,221.654421769
38,227.717913832
39,233.817687075
40,240.384580499
41,246.457142857
42,252.624943311
43,258.361904762
44,264.366439909
45,270.502494331
46,276.420861678
47,282.352834467
48,288.343764172
49,294.407256236
50,300.312018141
51,306.475283447
52,312.579591837
53,318.507029478
54,324.366439909
55,330.529705215
56,336.420861678
57,342.497959184
58,348.175963719
59,353.355102041
60,359.359637188
61,364.987755102
62,370.797278912
63,376.665759637
64,381.863038549
65,386.583798553
66,391.980952381
67,397.713378685
68,403.681632653
69,409.309750567
70,414.5569161
71,420.13968254
72,425.173696145
73,430.280272109
74,435.79047619
75,440.621097071
76,445.822222222
77,451.237188209
