,time
0,0.439229024943
1,5.01519274376
2,10.0174603175
3,14.6024943311
4,19.3099773243
5,23.5367346939
6,28.4074829932
7,32.8247165533
8,37.0832199546
9,42.4120181406
10,47.2736961451
11,51.4414965986
12,55.8723356009
13,60.0537414966
14,64.7476190476
15,69.1013605442
16,73.7272108844
17,77.9403628118
18,82.3077097506
19,86.4664399093
20,91.5004535147
21,96.0219954649
22,100.929024943
23,104.815646259
24,109.255555556
25,113.641043084
26,117.672789116
27,122.067346939
28,126.489115646
29,130.983446712
30,135.523129252
31,140.008390023
32,144.95170068
33,149.532199546
34,154.34399093
35,159.051473923
36,163.015192744
37,167.337188209
38,171.659183673
39,175.604761905
40,179.799773243
41,183.904081633
42,188.593424036
43,193.092290249
44,197.68185941
45,202.080952381
46,206.384807256
47,210.897278912
48,215.305442177
49,219.768027211
50,224.466439909
51,228.693197279
52,232.806575964
53,236.588888889
54,241.083219955
55,245.223809524
56,249.523129252
57,253.536734694
58,257.799773243
59,261.981179138
60,266.366666667
61,270.892743764
62,275.037868481
63,279.341723356
64,283.981179138
65,288.212471655
66,292.820181406
67,297.518594104
68,301.885941043
69,306.112698413
70,310.783900227
71,315.28276644
72,320.393877551
73,325.26462585
74,330.021995465
75,334.502721088
76,339.650113379
77,344.176190476
78,348.942630385
79,353.26462585
80,357.332653061
81,362.285034014
82,366.933560091
83,371.251020408
84,375.573015873
85,380.334920635
86,384.992517007
87,389.523129252
