,time
0,0.0489795918367
1,3.08299319728
2,6.56145124717
3,9.14648526077
4,11.8766439909
5,15.0149659864
6,17.935600907
7,20.8698412698
8,24.0172335601
9,26.9968253968
10,30.0399092971
11,33.2054421769
12,36.4299319728
13,39.5954648526
14,42.8335600907
15,45.9492063492
16,49.2507936508
17,52.4526077098
18,55.7224489796
19,58.9968253968
20,62.1034013605
21,65.3823129252
22,68.6430839002
23,71.7723356009
24,75.1011337868
25,78.4163265306
26,81.6045351474
27,84.9514739229
28,88.3936507937
29,91.6634920635
