,time
0,0.461678004535
1,4.16689342404
2,7.86757369615
3,11.4684807256
4,15.3097505669
5,19.1011337868
6,23.1419501134
7,27.2462585034
8,30.9514739229
9,34.8517006803
10,38.756462585
11,42.6249433107
12,46.4299319728
13,50.570521542
14,54.0444444444
15,57.6544217687
16,61.2961451247
17,64.9560090703
18,68.443537415
19,71.8947845805
20,75.6317460317
21,79.0739229025
22,82.6884353741
23,86.1487528345
24,89.4276643991
25,92.883446712
26,97.2371882086
27,101.005895692
28,104.593197279
29,108.53877551
30,112.407256236
31,116.148752834
32,119.736054422
33,123.473015873
34,127.200907029
35,130.810884354
36,134.479818594
37,138.048979592
38,141.681632653
39,145.359637188
40,148.665759637
41,152.112471655
42,155.613605442
43,158.978684807
44,162.13968254
45,165.627210884
46,168.810884354
47,171.990022676
48,175.119274376
49,179.259863946
50,182.611337868
51,185.91292517
52,189.377777778
53,192.733786848
54,196.928798186
55,200.117006803
56,203.550113379
57,207.051247166
58,210.488888889
59,214.076190476
60,217.645351474
61,221.014965986
62,224.425396825
63,228.162358277
