,time
0,0.425623582766
1,13.7272108844
2,26.4528344671
3,38.5117913832
4,50.1036281179
5,60.9517006803
6,72.0628117914
7,83.133106576
8,93.9267573696
9,105.114965986
10,116.774829932
11,129.364399093
12,142.629705215
13,156.316780045
14,170.788435374
15,184.01292517
16,196.548072562
17,209.436961451
18,221.201133787
19,233.754421769
20,245.427891156
21,256.734013605
22,268.529931973
23,279.051473923
24,290.870068027
25,302.185260771
26,313.468707483
27,324.071882086
28,335.47324263
29,346.747619048
30,357.953968254
31,369.051473923
32,380.040136054
33,391.641043084
34,402.475510204
35,414.661451247
36,426.915419501
37,439.237414966
38,451.554875283
39,464.416553288
40,476.357596372
41,487.409750567
42,499.07414966
43,508.833786848
44,521.006122449
45,532.162585034
46,544.162585034
47,557.042403628
48,568.235147392
49,579.554875283
50,591.16031746
51,602.7430839
52,614.198866213
53,625.359863946
54,636.720408163
55,650.702267574
56,661.432426304
57,672.815646259
58,683.845124717
59,694.95170068
60,705.958503401
61,716.820181406
62,727.722675737
63,738.915419501
64,750.253287982
65,761.314512472
66,772.062811791
67,783.078684807
68,793.922222222
69,805.518594104
70,820.55260771
71,835.26462585
72,847.813378685
73,859.622902494
74,871.486848073
75,883.07414966
76,892.6569161
77,902.171655329
78,911.999319728
79,921.749886621
80,931.450566893
81,941.836054422
82,952.942630385
83,962.883673469
84,970.55260771
85,979.972108844
86,993.754421769
87,1002.69375786
