,time
0,0.0
1,3.87664399093
2,8.24399092971
3,12.3482993197
4,16.2031746032
5,20.3029478458
6,24.7428571429
7,29.0013605442
8,33.8675736961
9,38.8290249433
10,43.3551020408
11,47.9628117914
12,52.7292517007
13,57.5183673469
14,62.5750566893
15,67.1918367347
16,72.0807256236
17,76.8789115646
18,80.6884353741
19,85.4095238095
20,90.3346938776
21,94.8698412698
22,100.185034014
23,104.620408163
24,109.178231293
25,113.940136054
26,118.34829932
27,122.525170068
28,127.024036281
29,130.751927438
30,134.942403628
31,139.110204082
32,143.232653061
33,147.223582766
34,151.482086168
35,156.080725624
36,160.561451247
