,time
0,0.0
1,3.83151927438
2,7.7
3,11.5458049887
4,15.3916099773
5,19.1603174603
6,22.8972789116
7,26.729478458
8,30.543537415
9,34.6342403628
10,38.7068027211
11,42.5979591837
12,46.185260771
13,50.0174603175
14,53.7952380952
15,57.5548752834
16,61.4188208617
17,65.0469387755
18,68.774829932
19,72.7340136054
20,76.6523809524
21,80.6841269841
22,84.6569160998
23,88.6024943311
24,92.3848072562
25,96.1263038549
26,99.8224489796
27,103.50952381
28,107.337188209
29,111.033333333
30,114.870068027
31,118.715873016
32,122.516326531
33,126.330385488
34,130.148979592
35,134.058276644
36,137.92675737
37,141.92675737
38,145.917687075
39,149.836054422
40,153.663718821
41,157.309977324
