,time
0,0.012925170068
1,4.34399092971
2,8.62970521542
3,12.6206349206
4,16.752154195
5,20.4664399093
6,24.2079365079
7,27.9131519274
8,31.5321995465
9,35.2192743764
10,38.9879818594
11,42.8972789116
12,46.8065759637
13,50.5888888889
14,54.1716553288
15,57.7544217687
16,61.5367346939
17,65.341723356
18,69.0741496599
19,72.9108843537
20,76.8519274376
21,80.8020408163
22,84.5843537415
23,88.3439909297
24,91.9675736961
25,95.6319727891
26,99.4641723356
27,103.314512472
28,107.219274376
29,111.051473923
30,114.942630385
31,118.947165533
32,122.829251701
33,126.783900227
34,130.765759637
35,134.95170068
36,138.779365079
37,142.693197279
38,146.620634921
39,150.425623583
40,154.162585034
41,158.144444444
