,time
0,0.0
1,1.79070294785
2,3.53868692041
3,5.2873015873
4,6.98545989483
5,8.74761904762
6,10.5701037882
7,12.3624257349
8,14.1172335601
9,15.9011126553
10,17.647477629
11,19.3780045351
12,21.0942506035
13,22.7929705215
14,24.5410235779
15,26.1495176326
16,27.6201407684
17,29.4188208617
18,31.1128707158
19,32.7213647705
20,34.312244898
21,35.93835288
22,37.6387608807
23,39.1553409894
24,40.8097920172
25,42.4891156463
26,44.1186940726
27,45.8541950113
28,47.565467047
29,49.2199180748
30,50.8836734694
