,time
0,0.0
1,4.74285714286
2,9.74058956916
3,14.4934240363
4,19.2462585034
5,24.2485260771
6,29.1238095238
7,33.7451247166
8,38.6204081633
9,42.6158730159
10,46.8607709751
11,50.8970521542
12,54.8244897959
13,59.2281179138
14,63.1056689342
15,67.3505668934
16,70.9968253968
17,74.8471655329
18,78.7746031746
19,82.9333333333
20,87.0195011338
21,91.219047619
22,95.1555555556
23,99.2961451247
24,103.187301587
25,108.062585034
26,113.817687075
27,118.443537415
28,123.441269841
29,127.767800454
30,131.785941043
31,135.91292517
32,139.772335601
33,144.271201814
34,148.597732426
35,152.946938776
36,157.404988662
37,161.47755102
38,166.103401361
39,170.6430839
40,174.6430839
41,179.141950113
42,183.767800454
43,188.266666667
44,192.398185941
45,196.030839002
46,200.407256236
47,204.144217687
48,208.275736961
49,212.647619048
50,216.770068027
51,221.404988662
52,225.082993197
53,228.838095238
54,231.844897959
55,234.878911565
56,238.620408163
57,242.12154195
58,246.497959184
59,250.493424036
60,253.736054422
61,257.318820862
62,261.432199546
63,265.681632653
64,270.062585034
65,274.112471655
66,278.484353741
67,282.234920635
68,286.493424036
69,290.74739229
70,294.103401361
71,297.49569161
72,301.368707483
73,304.493424036
74,308.74739229
75,312.153287982
76,316.652154195
77,320.897052154
