,time
0,0.275510204082
1,3.98072562358
2,7.48285909346
3,11.7911719048
4,15.477324263
5,19.4455782313
6,23.3276643991
7,27.3911564626
8,31.2006802721
9,35.9172335601
10,39.5045351474
11,43.9217687075
12,47.4501133787
13,52.216553288
14,56.2301587302
15,60.1666666667
16,64.447845805
17,68.5793650794
18,72.5249433107
19,76.8015873016
20,81.5861678005
21,85.0324896984
22,89.1326530612
23,92.9965986395
24,97.1825396825
25,101.695011338
26,105.953514739
27,110.293650794
28,113.962585034
29,117.799319728
30,121.993278554
31,126.570294785
32,129.617913832
33,133.330943847
34,138.429705215
35,141.159863946
36,144.883219955
37,148.865079365
38,153.277777778
39,157.318594104
40,160.842403628
41,164.622900056
42,168.633786848
43,172.407029478
44,176.520408163
45,180.261904762
46,184.429705215
47,187.899092971
48,192.162131519
49,196.348072562
50,200.007936508
51,204.121315193
52,207.853741497
53,211.345804989
54,215.441043084
55,219.091836735
56,222.778911565
57,226.207482993
58,230.157596372
59,233.744897959
60,237.70861678
61,241.536281179
62,245.989795918
63,249.654195011
