,time
0,0.552607709751
1,5.3462585034
2,10.8655328798
3,16.2260770975
4,22.1263038549
5,27.6092970522
6,33.2192743764
7,38.879138322
8,44.3394557823
9,49.8587301587
10,55.2192743764
11,60.3712018141
12,65.5321995465
13,69.8995464853
14,74.774829932
15,79.5231292517
16,84.5027210884
17,89.3734693878
18,94.2487528345
19,99.4006802721
20,104.280498866
21,109.26462585
22,113.813378685
23,118.407482993
24,123.096825397
25,128.121768707
26,133.096825397
27,138.22154195
28,143.187528345
29,148.280498866
30,153.260090703
31,158.076417234
32,163.341723356
33,168.275963719
34,173.169387755
35,178.144444444
36,183.269160998
