,time
0,0.0
1,1.23375515081
2,2.71133786848
3,3.94801648258
4,5.38739749185
5,6.66227781435
6,8.01746031746
7,9.33541397443
8,10.7747949837
9,11.9674249628
10,13.3656808004
11,14.7228114663
12,16.162585034
13,17.4370727981
14,18.7942034639
15,20.2335844732
16,21.5639455782
17,22.7010947748
18,24.1404757841
19,25.5140589569
20,26.8136119442
21,28.1296174384
22,29.4867481043
23,30.8027535985
24,32.201009436
25,33.5095238095
26,34.750770081
27,36.1901510903
28,37.49138322
29,38.781036907
30,40.2204179163
31,41.5684807256
32,42.8935540763
33,44.2442176871
34,45.5255650647
