,time
0,0.0
1,4.30725623583
2,8.77891156463
3,14.2392290249
4,18.7789115646
5,23.0691609977
6,27.5317460317
7,31.7040816327
8,36.343537415
9,40.7426303855
10,45.5997732426
11,50.193877551
12,55.141723356
13,59.6995464853
14,65.2188208617
15,70.0079365079
16,75.0328798186
17,79.6496598639
18,84.2120181406
19,89.6496598639
20,94.0396825397
21,99.0056689342
22,103.81292517
23,109.27324263
24,114.080498866
25,118.452380952
26,124.329931973
27,129.345804989
28,133.967120181
29,138.846938776
30,143.37755102
31,147.626984127
32,152.896825397
33,157.08276644
34,161.472789116
35,165.908163265
36,170.361678005
37,175.16893424
38,179.5861678
39,184.538548753
40,189.681405896
41,194.216553288
42,198.620181406
43,203.400226757
44,207.513605442
45,212.511337868
46,216.257369615
47,220.942176871
48,224.724489796
49,228.524943311
50,232.679138322
51,236.411564626
52,240.706349206
53,244.425170068
54,248.130385488
55,251.962585034
56,255.681405896
57,260.153061224
58,263.767573696
59,267.477324263
