,time
0,0.0
1,4.25306122449
2,9.11927437642
3,14.0807256236
4,19.4911564626
5,24.7746031746
6,30.3845804989
7,36.0716553288
8,41.4185941043
9,46.9287981859
10,52.3346938776
11,57.7723356009
12,62.9741496599
13,67.8040816327
14,72.5931972789
15,77.7678004535
16,82.8789115646
17,88.3528344671
18,93.4367346939
19,98.5115646259
20,103.590929705
21,108.384580499
22,113.28707483
23,118.117006803
24,123.228117914
25,128.271201814
26,133.613605442
27,138.425396825
28,143.114739229
29,147.940136054
30,152.674829932
31,157.146485261
32,161.282539683
33,164.983219955
34,169.237188209
