,time
0,0.0492063492063
1,3.69092970522
2,7.95396825397
3,12.4845804989
4,17.0378684807
5,21.6818594104
6,26.1807256236
7,30.8655328798
8,35.5095238095
9,40.185260771
10,44.8609977324
11,49.5095238095
12,54.1444444444
13,58.543537415
14,62.9426303855
15,67.49138322
16,72.3031746032
17,77.1693877551
18,82.0537414966
19,86.6977324263
20,90.9970521542
21,95.5185941043
22,99.8995464853
23,104.217006803
24,108.362131519
25,112.665986395
26,117.092290249
27,121.273696145
28,125.586621315
29,129.795238095
30,134.271428571
31,138.720408163
32,143.210204082
33,147.813378685
34,152.153514739
35,156.579818594
36,161.164852608
