,time
0,0.0401360544218
1,3.51650289746
2,7.6001836816
3,11.4233560091
4,15.0333333333
5,18.670521542
6,22.416553288
7,25.90861678
8,29.1739229025
9,32.5616780045
10,35.6591836735
11,39.1285714286
12,42.5526077098
13,46.2124716553
14,49.8814058957
15,53.214739229
16,56.8473922902
17,60.4845804989
18,64.2804988662
19,68.4210884354
20,72.4891156463
21,76.5072562358
22,80.3757369615
23,84.1399092971
24,87.8904761905
25,91.3559464885
26,95.4006802721
27,99.2646258503
28,103.201133787
29,107.57755102
30,111.446031746
31,115.332653061
32,119.034227359
33,123.004472566
