,time
0,0.933560090703
1,2.26011671096
2,4.43922902494
3,6.11885255894
4,8.01292517007
5,9.70196441779
6,11.3557083526
7,12.7889530962
8,14.442697031
9,15.9861913702
10,17.8814058957
11,19.5693032291
12,20.9474231748
13,22.7430839002
14,24.3651606401
15,26.1217687075
16,27.6726485098
17,29.2712676468
18,30.814761986
19,32.6977324263
20,34.3427490471
21,35.9413681841
22,37.6591836735
23,39.4142304473
24,40.792350393
25,42.5563439235
26,44.2100878583
27,45.8315192744
28,47.4073261324
29,49.0610700672
30,50.7699387999
31,52.5027210884
32,54.0223018718
33,55.5594104308
34,56.8887913588
35,58.3771609002
36,59.9993197279
