,time
0,0.0
1,2.9514739229
2,5.96281179138
3,9.11020408163
4,12.1260770975
5,15.346031746
6,18.5206349206
7,21.6770975057
8,24.7156462585
9,28.1079365079
10,31.2371882086
11,34.4072562358
12,37.622675737
13,40.8108843537
14,43.7859410431
15,46.8154195011
16,49.7859410431
17,52.8925170068
18,55.8176870748
19,58.7882086168
20,61.8811791383
21,64.9514739229
22,68.1759637188
23,71.39138322
24,74.5614512472
25,77.7315192744
26,80.8471655329
27,83.8675736961
28,86.9786848073
29,90.1306122449
30,93.0376417234
31,96.1986394558
32,99.4412698413
33,102.561451247
