,time
0,1.47777777778
1,4.97437641723
2,8.8201814059
3,12.7657596372
4,16.7702947846
5,21.110430839
6,25.2873015873
7,29.5458049887
8,33.6637188209
9,38.0673469388
10,42.4619047619
11,46.8247165533
12,51.3916099773
13,55.8859410431
14,60.4029478458
15,64.8247165533
16,69.2782312925
17,73.8360544218
18,78.5344671202
19,82.9290249433
20,87.2283446712
21,92.0038548753
22,96.5344671202
23,101.187528345
24,105.876870748
25,110.688662132
26,115.382539683
27,120.312244898
28,125.019727891
29,130.049206349
