,time
0,1.15124716553
1,4.65691609977
2,8.04920634921
3,11.5049886621
4,14.8746031746
5,18.0628117914
6,21.6138321995
7,25.0015873016
8,28.3984126984
9,32.0038548753
10,35.4142857143
11,38.901814059
12,42.5888888889
13,46.058276644
14,49.446031746
15,53.0650793651
16,56.289569161
17,59.7725623583
18,63.3145124717
19,66.7657596372
20,70.1489795918
21,73.6047619048
22,76.983446712
23,80.3394557823
24,83.5548752834
25,86.9789115646
26,90.3712018141
27,93.5911564626
28,96.9471655329
29,100.312244898
30,103.686394558
31,106.897278912
