,time
0,0.0
1,3.1873015873
2,6.8380952381
3,10.3392290249
4,13.577324263
5,16.8879818594
6,20.0535147392
7,23.2281179138
8,26.5886621315
9,30.1260770975
10,33.5727891156
11,36.8154195011
12,40.1306122449
13,43.4503401361
14,46.8199546485
15,50.189569161
16,53.6272108844
17,56.8426303855
18,60.062585034
19,63.2326530612
20,66.3301587302
21,69.5138321995
22,72.8335600907
23,76.0263038549
24,79.2281179138
25,82.4117913832
26,85.7768707483
27,89.2054421769
28,92.4888888889
29,95.6725623583
30,99.0240362812
31,102.475283447
32,105.890249433
33,109.200907029
