,time
0,0.0
1,4.85646258503
2,9.87233560091
3,14.879138322
4,19.8360544218
5,24.625170068
6,29.5639455782
7,35.7680272109
8,40.5299319728
9,45.5639455782
10,50.6387755102
11,55.7725623583
12,60.8746031746
13,66.5888888889
14,71.5911564626
15,76.7702947846
16,81.7498866213
17,86.9063492063
18,91.7816326531
19,96.8473922902
20,102.085487528
21,106.929024943
22,111.527664399
23,115.895011338
24,120.815646259
25,125.972108844
26,132.226077098
27,137.296371882
28,142.452834467
29,147.504988662
30,152.688662132
31,157.582086168
32,163.49138322
33,168.34399093
34,173.622902494
35,178.620634921
36,183.709070295
37,188.756689342
38,193.799773243
39,199.486848073
40,205.173922902
41,210.035600907
42,215.328117914
43,220.203401361
44,225.38707483
45,230.416553288
46,235.672789116
47,240.629705215
48,245.686394558
49,250.711337868
50,255.255555556
51,260.434693878
52,266.806575964
53,271.232879819
54,276.933560091
55,281.985714286
56,286.956235828
57,292.629705215
58,297.758956916
59,302.910884354
60,308.044671202
61,313.228344671
62,319.069614512
63,323.124036281
64,327.895011338
65,332.529931973
66,337.219274376
67,342.158049887
68,347.033333333
69,352.108163265
70,357.096825397
71,362.103628118
72,367.6138322
73,371.736281179
74,375.849659864
75,379.736281179
76,384.879138322
77,388.724943311
