,time
0,1.15578231293
1,4.92448979592
2,8.70680272109
3,12.4800453515
4,16.3213151927
5,20.0310657596
6,23.8088435374
7,27.5911564626
8,31.2510204082
9,35.0015873016
10,38.670521542
11,42.2714285714
12,45.9585034014
13,49.3507936508
14,52.9380952381
15,56.520861678
16,60.1036281179
17,63.5775510204
18,67.2056689342
19,70.8655328798
20,74.4301587302
21,78.162585034
22,81.80430839
23,85.4868480726
24,89.1603174603
25,92.7068027211
26,96.1761904762
27,99.7634920635
28,103.568480726
29,107.319047619
30,111.201133787
31,114.983446712
32,118.684126984
33,122.34399093
34,126.185260771
35,130.080952381
36,133.899546485
37,137.545804989
38,141.446031746
39,145.087755102
40,148.851927438
41,152.607029478
