,time
0,0.171428571429
1,3.33242630385
2,6.53424036281
3,9.72244897959
4,12.8380952381
5,15.9854875283
6,19.1510204082
7,22.293877551
8,25.3052154195
9,28.2621315193
10,31.1782312925
11,34.0399092971
12,36.8970521542
13,39.8721088435
14,43.0149659864
15,45.8902494331
16,48.9197278912
17,51.8358276644
18,54.8244897959
19,57.9673469388
20,60.8698412698
21,63.7995464853
22,66.5931972789
23,69.4548752834
24,72.3437641723
25,75.3142857143
26,78.293877551
27,81.1011337868
28,83.9083900227
29,86.906122449
30,89.8494331066
31,92.7882086168
32,95.7678004535
33,98.7020408163
34,101.658956916
35,104.606802721
36,107.568253968
37,110.461678005
38,113.432199546
39,116.647619048
40,119.527437642
41,122.443537415
42,125.386848073
43,128.402721088
44,131.323356009
45,134.393650794
46,137.364172336
47,140.443537415
48,143.445804989
49,146.597732426
50,149.604535147
51,152.729251701
52,155.695238095
53,158.5569161
54,161.482086168
55,164.624943311
56,167.817687075
57,170.942403628
58,173.953741497
59,176.987755102
60,179.967346939
61,182.978684807
62,185.949206349
63,189.119274376
