,time
0,0.212471655329
1,2.9380952381
2,5.30090702948
3,7.77256235828
4,10.2941043084
5,12.7068027211
6,15.1693877551
7,17.6818594104
8,20.0718820862
9,22.4528344671
10,24.7884353741
11,27.237414966
12,29.5412698413
13,32.0083900227
14,34.3653276119
15,36.4891156463
16,38.7418092759
17,40.7113378685
18,42.8198944629
19,44.8092043102
20,46.7985141575
21,48.8700680272
22,50.9760648368
23,52.8659091917
24,54.855219039
25,57.0424036281
26,59.0327697183
27,60.8231485808
28,62.6135274434
29,64.6028372907
30,66.3932161533
31,68.3825260005
32,70.2723703555
33,72.3213151927
34,74.0520590653
35,76.0129251701
36,77.9312132675
37,79.7215921301
38,81.4125055003
39,83.3870748299
40,85.1921942101
41,87.2646258503
42,88.97188292
43,90.7622617825
44,92.7515716298
45,94.7113378685
46,96.7301913244
47,98.8189666641
48,100.806575964
49,102.598655374
50,104.389034236
51,106.179413099
52,108.384807256
53,110.158032794
54,111.948411656
55,113.738790519
56,115.722675737
57,117.816875706
58,119.507789076
59,121.468707483
60,123.386943278
61,125.177322141
62,127.069614512
63,128.95701085
64,130.702267574
65,132.438303083
66,134.144444444
67,135.919595316
68,137.610508686
69,139.677324263
70,142.425623583
71,144.842857143
72,147.358126938
73,149.582086168
74,151.734608602
75,154.080952381
76,156.210555758
77,158.130839002
78,160.089709961
79,161.963038549
80,163.769933178
81,165.560312041
82,167.350690903
83,169.319047619
84,171.130379613
85,172.643310658
86,174.213809876
87,176.026530612
