,time
0,0.0
1,1.37346938776
2,2.72859418558
3,4.07367582636
4,5.3418956591
5,6.62063492063
6,7.87833532457
7,9.26916099773
8,10.6069295102
9,11.9520111509
10,13.2510204082
11,14.6037435285
12,15.9488251693
13,17.3323377141
14,18.6297052154
15,19.9840700916
16,21.2907208284
17,22.5798185941
18,23.9040223019
19,25.2106730386
20,26.5163265306
21,27.8624054162
22,29.1421768707
23,30.4757068897
24,31.7589569161
25,33.1274392672
26,34.472520908
27,35.7907029478
28,37.0858223815
29,38.4437641723
30,39.7375547591
31,41.1594982079
32,42.4800453515
