,time
0,0.0990929705215
1,2.73854875283
2,5.36893424036
3,7.85873015873
4,10.4346938776
5,13.0786848073
6,15.7181405896
7,18.4074829932
8,21.0242630385
9,23.6455782313
10,26.1761904762
11,28.7476190476
12,31.4142857143
13,34.0673469388
14,36.5480725624
15,39.1512471655
16,41.6501133787
17,44.0945578231
18,46.6614512472
19,49.2555555556
20,51.931292517
21,54.5072562358
22,57.2011337868
23,59.90861678
24,62.3712018141
25,64.9244897959
26,67.4641723356
27,70.0265306122
28,72.5390022676
29,74.9925170068
30,77.5049886621
31,79.8950113379
32,82.3802721088
