,time
0,0.0
1,4.01184990125
2,8.2029478458
3,12.5793650794
4,16.6111111111
5,21.1553287982
6,25.6496598639
7,29.9126984127
8,34.1485260771
9,38.4841269841
10,42.7789115646
11,46.8242630385
12,51.2052154195
13,55.7630385488
14,60.7380952381
15,65.2278911565
16,69.7721088435
17,74.3253968254
18,78.7970521542
19,82.8968253968
20,87.1507936508
21,91.4501133787
22,95.8673469388
23,100.130385488
24,104.629251701
25,108.706349206
26,113.341269841
27,117.59735023
28,122.511337868
29,126.869614512
30,131.373015873
31,135.468253968
32,139.636054422
33,143.441043084
34,147.640589569
35,152.007936508
36,156.085034014
37,159.962585034
38,163.482883476
39,168.778911565
40,173.354875283
41,177.109977324
42,180.892290249
43,184.85600907
44,188.924036281
45,193.713151927
46,197.48185941
47,201.359410431
48,204.833333333
49,208.475056689
50,212.747165533
51,215.93537415
52,220.062358277
53,223.681405896
54,227.155328798
55,230.556689342
56,234.225623583
57,237.880952381
58,241.286848073
59,244.883219955
