,time
0,0.0
1,2.09455782313
2,4.50725623583
3,6.67434715822
4,9.21695559944
5,11.4417379855
6,13.7907029478
7,16.312244898
8,18.8020408163
9,20.8705776217
10,23.3072440446
11,25.7680272109
12,27.8627508351
13,29.9815912028
14,32.2986394558
15,34.7022675737
16,37.341723356
17,39.6223148758
18,41.826984127
19,43.9659376295
20,45.9788359788
21,48.2036183649
22,50.1444444444
23,51.6997049716
24,53.9244873577
25,55.6637188209
26,57.314631946
27,59.539414332
28,61.2344866262
29,63.1058956916
30,65.1543413064
31,66.8494136006
32,68.8020408163
33,70.557384244
34,72.6115646259
35,74.4772389242
36,76.2782532368
37,78.0792675493
38,79.8723356009
39,81.7872381928
40,83.5882525053
41,85.4952088362
42,87.4142857143
43,89.0972374613
44,91.216077829
45,93.0170921415
46,94.9244897959
47,96.725062785
48,98.3141930607
49,100.009265355
50,102.266893424
51,103.717235998
52,105.863265306
53,107.53114866
54,109.38707483
55,110.921293248
56,112.584353741
57,114.205495818
58,115.990249433
