,time
0,0.275736961451
1,4.02630385488
2,7.45034013605
3,11.1963718821
4,14.7746031746
5,18.316553288
6,22.0444444444
7,25.5954648526
8,29.6
9,33.4775510204
10,37.5002267574
11,41.2099773243
12,44.9287981859
13,48.8290249433
14,52.1034013605
15,56.2394557823
16,59.831292517
17,63.3777777778
18,66.987755102
19,70.801814059
20,74.8925170068
21,78.9333333333
22,82.3936507937
23,86.4299319728
24,90.1396825397
25,93.9537414966
26,98.3709750567
27,102.266666667
28,105.876643991
29,109.473015873
30,112.915192744
31,116.751927438
32,120.425396825
33,124.262131519
34,127.899319728
35,131.649886621
36,135.160090703
37,139.386848073
38,142.85170068
39,146.760997732
40,150.080725624
41,153.359637188
42,156.933333333
43,160.842630385
44,164.148752834
45,167.795011338
46,171.196371882
47,174.887981859
48,178.389115646
49,182.24399093
50,185.994557823
51,189.754195011
52,193.300680272
53,196.411791383
54,199.767800454
55,203.178231293
56,206.751927438
57,210.171428571
58,213.772335601
59,217.141950113
60,220.593197279
61,224.280272109
62,228.266666667
63,232.103401361
