,time
0,0.198412698413
1,4.95124716553
2,9.28684807256
3,14.1394557823
4,22.656462585
5,27.29138322
6,31.6360544218
7,36.3072562358
8,40.5158730159
9,45.0011337868
10,49.4637188209
11,54.1439909297
12,58.8242630385
13,63.5181405896
14,68.0986394558
15,71.9807256236
16,76.1712018141
17,80.1303854875
18,84.8106575964
19,88.8968253968
20,93.2959183673
21,97.4863945578
22,101.799319728
23,105.636054422
24,109.72675737
25,113.695011338
26,118.302721088
27,122.057823129
28,125.930839002
29,129.776643991
30,133.608843537
31,137.640589569
32,141.5861678
33,145.540816327
34,149.835600907
35,153.876417234
36,157.930839002
37,161.676870748
38,165.581632653
39,169.944444444
40,173.767573696
41,177.858276644
42,181.667800454
43,185.645124717
44,189.685941043
45,193.717687075
46,197.808390023
47,201.667800454
48,205.636054422
49,209.704081633
50,213.735827664
51,217.608843537
52,221.717687075
53,226.325396825
54,229.971655329
55,233.902608624
56,237.62244898
57,241.477324263
58,245.60430839
